obligor_id,rating,sector,region,ead,maturity,secured,pd,lgd,expected_loss,capital_rate,irb_capital,rwa
OBL00019,BBB,financials,south,15207918.087365687,4.551694449388459,0,0.0045000000000000005,0.55,37639.597266230085,0.08770302334675138,1333780.3950717156,16672254.938396445
OBL00020,BBB,financials,north,844919.8930864659,3.1345439616689705,1,0.0045000000000000005,0.35,1330.7488316111837,0.04576256982911388,38665.705607376825,483321.3200922103
OBL00021,B,industrials,east,3411057.6174997664,4.557232089526613,1,0.045,0.35,53724.15747562132,0.10550623582845256,359887.84941636986,4498598.117704623
OBL00022,B,real_estate,south,2197294.237354169,2.6695852985535637,0,0.056249999999999994,0.5,61798.900425586,0.14046990019294775,308653.7022156794,3858171.2776959925
OBL00023,BBB,healthcare,east,3913792.66055572,4.641334049404794,0,0.004,0.55,8610.343853222585,0.08459681059768899,331094.3764236575,4138679.705295719
OBL00024,BB,industrials,east,5037460.351167936,4.0943503466445375,0,0.015,0.55,41559.047897135475,0.12324813408852765,620857.5888263873,7760719.860329841
OBL00025,BBB,real_estate,south,3943201.1609634794,3.1018663505550075,0,0.00625,0.5,12322.503628010874,0.07471235831792444,294605.8580575591,3682573.225719489
OBL00026,BB,energy,west,2668069.048215583,4.812187716787848,1,0.018,0.39999999999999997,19210.097147152195,0.10027420628478957,267538.50612283155,3344231.3265353944
OBL00027,A,energy,south,3024249.5086809522,4.355137241295687,0,0.0024,0.6000000000000001,4354.919292500572,0.07095473189047757,214584.8130583655,2682310.1632295684
OBL00028,BB,industrials,east,4750402.993012685,2.0519989394551397,1,0.015,0.35,24939.615713316594,0.062125811002277584,295122.6385285598,3689032.9816069975
OBL00029,BB,energy,north,8414693.138488816,1.7770905275505502,0,0.018,0.6000000000000001,90878.68589567921,0.10904096485232952,917546.2587570973,11469328.234463716
OBL00030,A,industrials,west,627241.365016623,4.5457632761621385,1,0.002,0.35,439.06895551163615,0.03908149782344747,24513.532041673374,306419.15052091714
OBL00031,A,technology,east,1928260.8597020053,2.634717708770274,1,0.0017,0.35,1147.315211522693,0.025711959789507154,49579.365688338454,619742.0711042307
OBL00032,BB,industrials,north,514381.341996079,4.428288266733565,0,0.015,0.55,4243.646071467652,0.1274374770646407,65551.46047310442,819393.2559138053
OBL00033,BBB,financials,west,2143114.479184065,4.66766932972332,1,0.0045000000000000005,0.35,3375.4053047149023,0.056633346161822834,121371.74416404581,1517146.8020505726
OBL00034,B,financials,west,5731377.889101186,1.4728928706660813,0,0.0405,0.55,127666.44247972894,0.12481722862616212,715374.7043268732,8942183.804085914
OBL00035,A,technology,south,3123746.615136183,4.616798385630904,1,0.0017,0.35,1858.6292360060286,0.0365478591148297,114166.25120042337,1427078.1400052921
OBL00036,BB,industrials,west,2506173.5942322235,2.5730772271304136,1,0.015,0.35,13157.411369719171,0.06628576483911598,166123.63351327923,2076545.4189159903
OBL00037,BB,financials,south,7936966.394327448,2.633200081530859,1,0.0135,0.35,37502.16621319719,0.0646398455960947,513044.2822307187,6413053.527883984
OBL00038,B,energy,north,990539.6559281874,2.006988626822718,1,0.054,0.39999999999999997,21395.656568048846,0.10520049602592466,104205.26313699405,1302565.7892124257
OBL00039,BB,financials,west,1060496.56768205,1.240642667410734,1,0.0135,0.35,5010.846282297686,0.05352308280813017,56761.045609784174,709513.0701223022
OBL00040,B,financials,west,14506423.838977836,2.413380183047613,0,0.0405,0.55,323130.5910132314,0.1359665363297679,1972388.2039173911,24654852.548967388
OBL00041,B,financials,north,5687965.991980905,2.0478320552273694,1,0.0405,0.35,80626.91793632932,0.0837664730705146,476460.85009327135,5955760.626165892
OBL00042,B,financials,south,1572686.402027859,2.8631804917326797,1,0.0405,0.35,22292.829748744898,0.08991744235014602,141411.9388891986,1767649.2361149823
OBL00043,B,financials,north,2736271.7198500517,3.516526394333918,1,0.0405,0.35,38786.65162887448,0.0948462683537844,259525.16182976917,3244064.5228721146
OBL00044,CCC,consumer,south,5712131.476615372,1.0631982040806776,0,0.126,0.55,395850.7113294453,0.18909612561783695,1080141.931247661,13501774.14059576
OBL00045,BB,real_estate,north,4947670.761105545,1.9587501993876728,1,0.01875,0.3,27830.64803121869,0.05646414375439733,279365.99310449196,3492074.9138061497
OBL00046,BB,technology,west,2812812.978115844,4.415941080206299,1,0.01275,0.35,12552.177914841952,0.07769943278112992,218553.9729190019,2731924.661487524
OBL00047,BBB,industrials,west,1913960.7701687147,1.2265937724603497,1,0.005,0.35,3349.4313477952505,0.034098114713620654,65262.45389858257,815780.6737322821
OBL00048,A,industrials,west,3637033.2232963056,4.7727235004376825,1,0.002,0.35,2545.923256307414,0.04038721091309729,146889.62788720996,1836120.3485901246
OBL00049,BB,technology,east,882563.537780372,3.6680732777514717,1,0.01275,0.35,3938.4397873449093,0.0717340661683178,63309.87121688185,791373.3902110232
OBL00050,A,consumer,north,3104325.32255663,4.738157071433262,1,0.0021000000000000003,0.35,2281.679112079123,0.041113383367923015,127629.31708502199,1595366.463562775
OBL00051,A,industrials,west,919753.1839730797,1.0991862552585614,0,0.002,0.55,1011.7285023703877,0.030254988346413002,27827.12186268178,347839.0232835222
OBL00052,BB,industrials,east,601808.7302420202,3.826837325338597,1,0.015,0.35,3159.4958337706057,0.07629497891380849,45914.98438396079,573937.3047995099
OBL00053,BB,healthcare,west,554754.7020658733,4.9323901465511035,0,0.012,0.55,3661.381033634764,0.12658670856917856,70224.57179779418,877807.1474724272
OBL00054,B,consumer,west,775451.2992850676,4.461151788984162,0,0.04725,0.55,20152.040640170697,0.16684211574442034,129377.93542948039,1617224.192868505
OBL00055,BBB,healthcare,west,1099922.2637577082,4.440725316686041,1,0.004,0.35,1539.8911692607915,0.05244687539598501,57687.485912570286,721093.5739071285
OBL00056,B,industrials,north,1462087.1840929328,4.761220114792376,1,0.045,0.35,23027.873149463692,0.10703475313980787,156494.1408182639,1956176.7602282988
OBL00057,BB,consumer,south,4759298.667994252,1.5604031064691632,1,0.01575,0.35,26235.633907318315,0.05918557321384139,281681.81976111163,3521022.7470138953
OBL00058,BB,financials,west,165710.82598101036,1.6139623349188525,1,0.0135,0.35,782.983652760274,0.05650328753483563,9363.20644804014,117040.08060050175
OBL00059,B,healthcare,west,3519542.5470086345,4.675539010596327,0,0.036,0.55,69686.94243077097,0.15826774722902032,557030.070191745,6962875.877396812
OBL00060,BBB,industrials,east,1354154.8113152431,2.6559095061080265,1,0.005,0.35,2369.770919801675,0.04444231256021249,60181.77137938761,752272.1422423451
OBL00061,BB,industrials,south,2683060.2366677267,2.2083524767379146,1,0.015,0.35,14086.066242505563,0.06337403706102304,170036.35887553776,2125454.4859442217
OBL00062,BB,financials,north,4302226.988560165,3.2776491028071177,1,0.0135,0.35,20328.022520946783,0.06978447146632549,300228.6365248323,3752857.9565604036
OBL00063,A,technology,south,127017.02214682788,4.462259398420938,0,0.0017,0.55,118.76091570728407,0.0561047222288982,7126.254745889589,89078.18432361986
OBL00064,BB,industrials,west,3807842.8846912845,2.080984879606151,0,0.015,0.55,31414.7037987031,0.09798991101689446,373130.1854372137,4664127.317965171
OBL00065,B,industrials,east,1384212.9238714983,4.090239973908487,1,0.045,0.35,21801.3535509761,0.10200698369314332,141199.38515319815,1764992.3144149769
OBL00066,A,industrials,north,4228183.770244429,1.0796817453872207,1,0.002,0.35,2959.7286391711,0.019140964018582132,80931.51341020156,1011643.9176275195
OBL00067,CCC,financials,east,919199.0261399217,4.764700198068145,1,0.108,0.35,34745.72318808904,0.1397516083487048,128459.5422956172,1605744.278695215
OBL00068,CCC,financials,east,4214282.271119003,1.8082457504943177,1,0.108,0.35,159299.86984829832,0.11863099850839474,499944.51381907286,6249306.4227384105
OBL00069,BB,real_estate,south,2551827.620261465,3.6195253108567607,0,0.01875,0.5,23923.383939951236,0.11294225511852454,288209.1661060678,3602614.5763258473
OBL00070,CCC,technology,west,2888480.895288497,4.536845870138349,0,0.102,0.55,162043.7782256847,0.21316103299229264,615711.5714181983,7696394.642727478
OBL00071,CCC,financials,north,2658876.5986963967,1.998755603287222,0,0.108,0.55,157937.26996256597,0.18855882809958355,501354.65551159927,6266933.193894991
OBL00072,BBB,real_estate,east,5826419.900226003,4.510647095282739,0,0.00625,0.5,18207.56218820626,0.08983176125855012,523397.5614691677,6542469.518364596
OBL00073,A,healthcare,south,3631380.3003455526,2.6419868420821304,1,0.0016,0.35,2033.5729681935093,0.0249062752570227,90444.1573233361,1130551.9665417012
OBL00074,CCC,financials,west,3708093.5158350235,4.098681208141853,1,0.108,0.35,140165.9348985639,0.1349936364327112,500569.027935127,6257112.849189087
OBL00075,BB,industrials,south,918121.8146751656,2.733430667190418,0,0.015,0.55,7574.504971070116,0.10617502271903959,97481.60453198156,1218520.0566497694
OBL00076,BB,industrials,west,1355782.7719564887,3.2096712650948613,0,0.015,0.55,11185.207868641033,0.1121495918941694,152050.48457206594,1900631.0571508242
OBL00077,CCC,energy,west,783059.9702726976,1.653348529772091,1,0.144,0.39999999999999997,45104.25428770738,0.14895573958862318,116641.27701421495,1458015.962677687
OBL00078,BB,real_estate,south,2891330.8922056947,2.998011790525788,0,0.01875,0.5,27106.227114428388,0.10589348379690447,306173.1009852731,3827163.7623159136
OBL00079,CCC,consumer,north,818980.128413083,4.33797663747,1,0.126,0.35,36117.02366301696,0.14332091061004149,117376.97777569178,1467212.2221961473
OBL00080,BBB,financials,east,3617908.223016139,1.787368763493629,1,0.0045000000000000005,0.35,5698.205451250419,0.03621029147961243,131005.51130190106,1637568.8912737633
OBL00081,BB,financials,east,11250770.87757923,4.314948427783158,1,0.0135,0.35,53159.89239656187,0.07806521480871786,878293.8453218899,10978673.066523623
OBL00082,BB,industrials,east,1944903.9252719474,4.93453366840684,0,0.015,0.55,16045.457383493567,0.13378846474859124,260205.71024564267,3252571.3780705333
OBL00083,CCC,real_estate,north,3969994.600272571,4.1903880825150885,0,0.15,0.5,297749.59502044285,0.21338936687970222,847154.6342680005,10589432.928350005
OBL00084,BB,technology,west,964844.7322118803,3.329263736388682,1,0.01275,0.35,4305.619617495515,0.06903155227546992,66604.7295693962,832559.1196174524
OBL00085,BB,technology,east,25350149.561339308,4.395511380375481,1,0.01275,0.35,113125.04241747665,0.07753647530538287,1965561.2454505474,24569515.56813184
OBL00086,BB,technology,north,2445956.9620948615,1.0376172217713462,1,0.01275,0.35,10915.082943348318,0.050752236650712455,124137.78657769613,1551722.3322212016
OBL00087,B,industrials,south,1045298.991687189,4.683204801256183,1,0.045,0.35,16463.459119073228,0.10645017099516717,111272.25640617708,1390903.2050772135
OBL00088,CCC,consumer,east,2929216.644163095,3.004936083699292,0,0.126,0.55,202994.71344050247,0.2105144680789214,616642.4837339171,7708031.046673964
OBL00089,BBB,industrials,south,1161645.0165809006,1.8888496904526395,0,0.005,0.55,3194.523795597477,0.06111438447494135,70993.22016672479,887415.2520840599
OBL00090,BB,financials,north,8444523.872628229,4.349723344956577,1,0.0135,0.35,39900.37529816838,0.07834282239693517,661567.8339799925,8269597.924749907
OBL00091,B,industrials,east,2982035.7845001854,4.725752835422818,0,0.045,0.55,73805.38566637959,0.16777984256541878,500325.4944478862,6254068.6805985775
OBL00092,B,technology,west,1023263.7532272221,3.105977762843885,0,0.03825,0.55,21526.911208517686,0.1418628772318641,145163.1401998899,1814539.2524986237
OBL00093,BBB,financials,north,1493337.3464984016,1.7725905461863882,1,0.0045000000000000005,0.35,2352.0063207349826,0.03610550507512742,53917.69914287535,673971.2392859419
OBL00094,CCC,healthcare,east,7695628.057676574,1.4367089646749056,1,0.096,0.35,258573.10273793287,0.11066545234554083,851640.1600858138,10645502.001072673
OBL00095,BBB,consumer,south,969235.1549568849,2.796545682220239,0,0.00525,0.55,2798.6665099380057,0.07298098394781596,70735.73528556734,884196.6910695917
OBL00096,B,financials,south,2908552.0317328935,4.25560310043336,1,0.0405,0.35,41228.725049813766,0.10042184550702425,292082.16277982213,3651027.0347477766
OBL00097,BBB,industrials,east,255591.40324491734,3.4545216391688647,0,0.005,0.55,702.8763589235227,0.07892028979735588,20171.34761380172,252141.8451725215
OBL00098,BBB,real_estate,north,9368809.27562335,4.18320268907081,0,0.00625,0.5,29277.52898632297,0.08631754235919337,808692.5915038222,10108657.393797778
OBL00099,CCC,consumer,north,1088903.084350122,2.6209199329681234,0,0.126,0.55,75460.98374546345,0.20627857737849223,224617.3791427955,2807717.239284944
OBL00100,A,healthcare,east,1308162.2706237861,2.8820708926715577,0,0.0016,0.55,1151.182798148932,0.0411608078674178,53845.015880550665,673062.6985068833
OBL00101,CCC,financials,north,3339252.679487159,2.1000263465984204,0,0.108,0.55,198351.60916153726,0.18969570621065832,633441.8952511497,7918023.690639371
OBL00102,B,industrials,east,781437.0782411831,1.3431456494104745,0,0.045,0.55,19340.567686469283,0.12794969638713655,99984.63690661044,1249807.9613326304
OBL00103,B,real_estate,south,966358.1412500473,4.615347056354423,1,0.056249999999999994,0.3,16307.293633594545,0.09663027889508864,93379.45670153153,1167243.208769144
OBL00104,CCC,consumer,south,2162861.428214349,3.7043383031377783,1,0.126,0.35,95382.18898425279,0.13887314334839224,300363.3651631196,3754542.0645389953
OBL00105,B,consumer,north,3193729.095655148,2.825421614137772,1,0.04725,0.35,52816.29491939701,0.09395082987866225,300053.49894443067,3750668.7368053836
OBL00106,A,industrials,south,732402.0130288429,2.373786599007985,1,0.002,0.35,512.68140912019,0.026586011502764035,19471.64834303235,243395.60428790437
OBL00107,BB,technology,east,374428.75078689394,3.0828316327345204,1,0.01275,0.35,1670.888300386514,0.06706588690167228,25111.396253008264,313892.4531626033
OBL00108,BBB,technology,west,1455053.0266766795,3.8608807852007963,1,0.00425,0.35,2164.391377181561,0.049705297867751984,72323.84410433842,904048.0513042302
OBL00109,A,industrials,south,1052062.6534433023,3.810328568666802,1,0.002,0.35,736.4438574103116,0.03485050656837352,36664.91641416628,458311.4551770785
OBL00110,BBB,technology,north,801867.6124667103,1.181836892180316,0,0.00425,0.55,1874.3655441409353,0.04860823019124227,38977.3654896837,487217.0686210463
OBL00111,BBB,consumer,south,196497.343786471,1.6603957596723529,0,0.00525,0.55,567.3860801834351,0.059944731774313045,11778.980567644981,147237.25709556227
OBL00112,BB,industrials,west,12121635.022362532,1.433815553132043,0,0.015,0.55,100003.48893449089,0.0898709939693866,1089383.3879938484,13617292.349923106
OBL00113,BBB,healthcare,south,950984.4841285566,2.812944592336753,1,0.004,0.35,1331.3782777799793,0.04118874935111024,39169.86155356599,489623.2694195749
OBL00114,BB,technology,south,4845859.032511534,4.0923489364438055,1,0.01275,0.35,21624.64593258272,0.07511830044165382,364012.6947021033,4550158.683776292
OBL00115,B,healthcare,west,2632510.5073998882,1.9530976362672083,0,0.036,0.55,52123.70804651779,0.12572617099155511,330975.4661904239,4137193.3273802986
OBL00116,B,financials,south,1289395.1727288694,1.447325235486252,0,0.0405,0.55,28721.27747253557,0.12451412891591551,160547.9167607216,2006848.95950902
OBL00117,A,healthcare,west,2556234.2760641216,1.2632517068215154,1,0.0016,0.35,1431.491194595908,0.017515591062314526,44773.95423901077,559674.4279876346
OBL00118,B,consumer,east,5950119.776509678,1.3741774277875716,1,0.04725,0.35,98400.1058040288,0.0831077989702133,494501.3582348568,6181266.97793571
OBL00119,BB,healthcare,east,953376.4854935101,3.4861504147272733,1,0.012,0.35,4004.1812390727423,0.06903640279589635,65817.683068666,822721.0383583249
OBL00120,BB,real_estate,south,627534.2611863653,4.136737593194794,0,0.01875,0.5,5883.133698622174,0.11880811480407497,74556.16254652005,931952.0318315006
OBL00121,B,consumer,south,8822293.122336285,4.391472594605839,0,0.04725,0.55,229269.34251671424,0.1660240127755837,1464712.5060527036,18308906.325658794
OBL00122,BB,consumer,south,180407.08105833462,1.2249138273075921,0,0.01575,0.55,1562.7763396678235,0.08879957606141493,16020.072316457434,200250.90395571792
OBL00123,BBB,healthcare,west,2642311.818344435,1.3853112891398176,1,0.004,0.35,3699.2365456822095,0.03131489138435182,82743.70759504514,1034296.3449380642
OBL00124,BBB,healthcare,west,1173164.7203826,2.017547300555479,0,0.004,0.55,2580.9623848417204,0.05608049682088919,65791.66037179576,822395.754647447
OBL00125,BB,financials,north,998716.0471864776,3.9504422819006346,0,0.0135,0.55,7415.466650359596,0.118101293010285,117949.65652284381,1474370.7065355477
OBL00126,BBB,consumer,north,472993.86952912057,3.0966264854612757,0,0.00525,0.55,1365.7697982653358,0.07642412903442981,36148.14451738777,451851.80646734714
OBL00127,BB,healthcare,west,5771166.266472379,2.052671922656919,1,0.012,0.35,24238.89831918399,0.05761926606170297,332530.36459419696,4156629.557427462
OBL00128,A,financials,west,890496.0432172449,3.8887875452921414,1,0.0018000000000000002,0.35,561.0125072268643,0.03351094406258034,29841.363092202217,373017.0386525277
OBL00129,BB,technology,north,1344832.371488515,1.4106485298691451,0,0.01275,0.55,9430.637005063212,0.08442927495219268,113543.22205701318,1419290.2757126647
OBL00130,CCC,consumer,west,1254821.169601758,1.0970553597249224,1,0.126,0.35,55337.61357943753,0.12057155537740943,151295.74013938406,1891196.7517423006
OBL00131,B,consumer,south,336100.1583981498,3.393217898796289,0,0.04725,0.55,8734.40286637192,0.15430351087278124,51861.43444573241,648267.9305716552
OBL00132,BBB,healthcare,west,2516699.819422057,1.2211679659756167,1,0.004,0.35,3523.3797471908797,0.03017963637489966,75953.08541493332,949413.5676866665
OBL00133,A,industrials,east,2579840.4060121826,2.513556877895053,1,0.002,0.35,1805.8882842085277,0.027390116641756515,70662.12963779016,883276.620472377
OBL00134,A,financials,north,3369099.4276328958,4.483385627810499,1,0.0018000000000000002,0.35,2122.532639408724,0.0368213753191943,124054.87451255355,1550685.9314069194
OBL00135,BB,industrials,south,5607023.872967376,3.594253640325203,1,0.015,0.35,29436.875333078722,0.07443818039477207,417376.6545337391,5217208.181671739
OBL00136,CCC,financials,north,918290.6253339933,3.6576264206242928,1,0.108,0.35,34711.385637624946,0.13184278589516824,121069.99430544984,1513374.928818123
OBL00137,B,healthcare,east,3336996.6617799243,1.5762959880165601,0,0.036,0.55,66072.53390324251,0.12122222843522637,404518.1716218738,5056477.145273423
OBL00138,BB,consumer,west,261224.3754045523,4.054583270420434,1,0.01575,0.35,1439.9993694175946,0.07908576784312725,20659.130308210344,258239.1288526293
OBL00139,B,industrials,north,1665960.871545689,1.8203462369642076,0,0.045,0.55,41232.531570755804,0.13356872576696655,222520.2707899827,2781503.3848747835
OBL00140,A,consumer,south,5585785.620884905,3.722005123292898,1,0.0021000000000000003,0.35,4105.552431350406,0.0351802289997371,196509.21728616962,2456365.21607712
OBL00141,BBB,consumer,south,3512853.4026089762,3.9047958218831074,1,0.00525,0.35,6454.868127293994,0.054534526036828505,191571.79534814082,2394647.4418517603
OBL00142,BB,technology,north,2615990.3022235334,1.4543946774252965,0,0.01275,0.55,18344.63199434253,0.08497761095476929,222300.60616380075,2778757.5770475096
OBL00143,B,healthcare,north,657619.6322162137,3.6236024088230083,1,0.036,0.35,8286.007365924292,0.09271427354147359,60970.7264675373,762134.0808442163
OBL00144,BBB,consumer,south,4490224.618040863,1.1019332023285555,1,0.00525,0.35,8250.787735650087,0.03406893571788675,152977.17387090676,1912214.6733863344
OBL00145,BBB,technology,south,3263687.8345245607,1.618063794890463,1,0.00425,0.35,4854.735653855284,0.03398927043646346,110930.36842785109,1386629.6053481386
OBL00146,B,financials,south,4525138.42265243,2.2200382413633455,1,0.0405,0.35,64143.83714109819,0.08506559245709847,384933.580873309,4811669.7609163625
OBL00147,BB,technology,east,2174769.230191326,4.588361175158845,1,0.01275,0.35,9704.90768972879,0.07907474145791969,171969.31460801812,2149616.4326002263
OBL00148,BB,financials,south,640257.3109340433,1.161502586256693,1,0.0135,0.35,3025.2157941633545,0.05289130885016692,33864.04717618984,423300.58970237296
OBL00149,BB,consumer,east,1756815.0325676783,4.231907834335793,0,0.01575,0.55,15218.410219617514,0.12650090948621417,222238.69941886427,2777983.7427358036
OBL00150,BB,technology,east,1015908.0103889434,4.8603001418157845,0,0.01275,0.55,7124.054922852466,0.1276689264609065,129699.88506939184,1621248.563367398
OBL00151,A,consumer,south,995810.693589827,3.5220196392831866,0,0.0021000000000000003,0.55,1150.1613510962504,0.053448284417172545,53224.37317665094,665304.6647081367
OBL00152,B,energy,west,487764.19431564526,3.6041557499009325,0,0.054,0.6000000000000001,15803.55989582691,0.1781126985598615,86876.99691043624,1085962.461380453
OBL00153,BBB,financials,east,1440095.1160652842,1.4911112946547669,1,0.0045000000000000005,0.35,2268.1498078028226,0.034109648735223645,49121.13855429797,614014.2319287246
OBL00154,BB,consumer,south,1409568.9192005568,2.8164071016392196,0,0.01575,0.55,12210.390762574823,0.10875352955738525,153295.59511744932,1916194.9389681167
OBL00155,B,technology,north,1796887.0412076134,1.401536410078784,1,0.03825,0.35,24055.82526416692,0.0773675064438344,139020.66973947256,1737758.371743407
OBL00156,CCC,consumer,east,5318260.911778132,4.54657993415945,0,0.126,0.55,368555.48118622456,0.2275195727785661,1210008.4505727082,15125105.632158851
OBL00157,BBB,industrials,east,4006246.8997411793,1.7831995548377093,0,0.005,0.55,11017.178974288245,0.05991285799067229,240025.7015797644,3000321.269747055
OBL00158,BB,industrials,north,1790053.072177776,3.1067445014565447,1,0.015,0.35,9397.778628933322,0.07054622104682418,126281.47971540008,1578518.496442501
OBL00159,BBB,industrials,north,687975.1558338442,4.278786421275291,1,0.005,0.35,1203.9565227092273,0.05618734516285148,38655.49754430274,483193.7193037843
OBL00160,BB,consumer,west,2285064.75661667,3.8199113920255803,0,0.01575,0.55,19794.373454191904,0.12133534706571593,277259.12531171937,3465739.066396492
OBL00161,CCC,financials,west,648347.8708425665,1.681668252098139,0,0.108,0.55,38511.86352804845,0.18499916558424304,119943.81511419537,1499297.688927442
OBL00162,BBB,financials,north,22633523.054932132,4.5628051958798395,0,0.0045000000000000005,0.55,56017.96956095704,0.08782682338365205,1987830.4318953413,24847880.398691766
OBL00163,BBB,technology,east,16798048.449169666,4.673207056386628,0,0.00425,0.55,39265.43824993409,0.08705319628366523,1462323.8088280852,18279047.610351063
OBL00164,B,real_estate,north,2906390.4411527715,1.1423901112302706,1,0.056249999999999994,0.3,49045.338694453014,0.07458993980812095,216787.48806448333,2709843.6008060416
OBL00165,B,industrials,east,1081803.7924536734,1.72613284824163,1,0.045,0.35,17038.409731145355,0.08429232292924663,91187.75461958874,1139846.9327448593
OBL00166,A,industrials,west,196234.28940911268,4.921326711349035,1,0.002,0.35,137.3640025863789,0.041242132334990925,8093.120532473533,101164.00665591916
OBL00167,A,real_estate,west,300846.6798638863,3.5593850595283683,0,0.0025,0.5,376.0583498298579,0.053272004298664306,16026.705622947837,200333.82028684797
OBL00168,A,financials,south,4488011.813090368,2.5889884109005434,0,0.0018000000000000002,0.55,4443.131694959466,0.04128818307585341,185301.85338546793,2316273.1673183492
OBL00169,A,financials,south,3470136.6906629717,3.4999231067587635,1,0.0018000000000000002,0.35,2186.186115117672,0.031345937094420816,108774.68641456314,1359683.5801820392
OBL00170,B,energy,east,3702709.3301271214,2.1415540854662782,1,0.054,0.39999999999999997,79978.52153074581,0.1063413858078256,393751.24140928366,4921890.517616046
OBL00171,A,energy,west,5028974.11120882,2.0940445677172166,0,0.0024,0.6000000000000001,7241.722720140701,0.047417123833639295,238459.48818735473,2980743.602341934
OBL00172,B,real_estate,south,766045.1539501497,1.96511330558805,1,0.056249999999999994,0.3,12927.011972908773,0.07981116727073508,61138.957918851396,764236.9739856424
OBL00173,BBB,consumer,north,1431427.7983437341,2.2599139286674856,0,0.00525,0.55,4133.247767717533,0.06682363910732647,95653.21460471659,1195665.1825589573
OBL00174,BB,industrials,south,1398528.7778598508,4.669706130045785,1,0.015,0.35,7342.276083764216,0.08302390122937063,116111.31511946867,1451391.4389933583
OBL00175,A,industrials,west,4535065.066828401,2.643441467081399,0,0.002,0.55,4988.571573511241,0.04421583403644875,200521.68433938094,2506521.0542422617
OBL00176,BBB,industrials,south,4412664.812774205,1.9168003387116705,1,0.005,0.35,7722.163422354857,0.039093255471009364,172505.4328337157,2156317.910421446
OBL00177,BB,financials,east,4489915.848243067,1.6387797860550855,1,0.0135,0.35,21214.85238294849,0.05670140483648939,254584.5361929998,3182306.7024124977
OBL00178,CCC,technology,south,4870155.475315544,3.8423954700856537,1,0.102,0.35,173864.55046876488,0.1306618238361876,636343.3967705241,7954292.459631551
OBL00179,A,real_estate,east,925957.16580065,1.522786732608012,1,0.0025,0.3,694.4678743504875,0.021239237009543145,19666.623705124843,245832.79631406054
OBL00180,BB,industrials,east,1867813.193353649,2.468062445187986,1,0.015,0.35,9806.019265106655,0.0654473943765601,122243.50668715835,1528043.8335894793
OBL00181,BB,industrials,west,11205056.861415831,1.572978443398394,0,0.015,0.55,92441.71910668061,0.0916168306707636,1026571.797128612,12832147.46410765
